,Iteration,pararel_time,total_time,now_obj,now_conv,now_lips,num_call_obj,num_call_nbl,num_call_proj,num_call_conv
0,0,0.0,0.0,351.039085246278,60.21836209256864,73.09941520467837,0,0,0,0
0,1,9.171875,83.71875,-657.2964553758961,36.25242829177338,73.09941520467837,2,3,1,1
0,2,18.34375,167.390625,-1082.3973637561314,25.565172379391033,73.09941520467837,4,6,2,2
0,3,27.546875,250.90625,-1353.0973901837776,17.946162845122295,73.09941520467837,6,9,3,3
0,4,36.71875,334.59375,-1529.0966684006935,13.271939272798523,73.09941520467837,8,12,4,4
0,5,45.9375,418.1875,-1637.401570541921,10.27538741345209,73.09941520467837,10,15,5,5
0,6,55.109375,501.75,-1706.3117215563225,7.92051240961841,73.09941520467837,12,18,6,6
0,7,64.328125,585.453125,-1753.561510077746,6.065908554005486,73.09941520467837,14,21,7,7
0,8,73.53125,669.21875,-1789.100139671438,5.802659477772064,73.09941520467837,16,24,8,8
0,9,82.8125,753.4375,-1815.6657110558692,9.581257952183014,73.09941520467837,18,27,9,9
0,10,92.03125,836.96875,-1829.6675807018548,24.693082867230377,73.09941520467837,20,30,10,10
0,11,101.265625,920.96875,-1813.1712250947726,30.93502257604397,73.09941520467837,22,33,11,11
0,12,110.609375,1005.3125,-1691.1895241421157,91.4645107696913,73.09941520467837,24,36,12,12
0,13,119.90625,1089.390625,-1439.0448289836982,83.15589266931963,73.09941520467837,26,39,13,13
0,14,138.234375,1242.65625,-1678.000478316314,38.61315916185434,117.7273391812866,33,42,14,14
0,15,147.375,1325.921875,-1744.6688005070364,29.48203030591125,117.7273391812866,35,45,15,15
0,16,156.453125,1409.203125,-1836.5545426339986,21.236113077630225,117.7273391812866,37,48,16,16
0,17,165.71875,1492.8125,-1889.2570419905692,9.331764018690217,117.7273391812866,39,51,17,17
0,18,174.90625,1576.4375,-1911.7637342686726,9.194490639417076,117.7273391812866,41,54,18,18
0,19,184.046875,1659.96875,-1923.9922641139594,3.9703877672528396,117.7273391812866,43,57,19,19
0,20,193.4375,1744.328125,-1931.5834854542272,5.586114858065766,117.7273391812866,45,60,20,20
0,21,202.578125,1827.875,-1936.460449214894,2.8841209903756955,117.7273391812866,47,63,21,21
0,22,211.71875,1911.4375,-1939.856841401559,2.5122189005630595,117.7273391812866,49,66,22,22
0,23,221.015625,1995.375,-1942.6272043838292,1.3893048578493445,117.7273391812866,51,69,23,23
0,24,230.25,2079.03125,-1944.9572692662937,1.2375564962708272,117.7273391812866,53,72,24,24
0,25,239.796875,2164.71875,-1946.8812649900449,1.1209226630179483,117.7273391812866,55,75,25,25
0,26,249.0625,2249.03125,-1948.4165091303257,1.1703744242003447,117.7273391812866,57,78,26,26
0,27,258.265625,2332.859375,-1949.6538665389364,1.1716772286199324,117.7273391812866,59,81,27,27
