,Iteration,pararel_time,total_time,now_obj,now_conv,now_lips,num_call_obj,num_call_nbl,num_call_proj,num_call_conv
0,57,9.515625,10.578125,-5667.991757613498,0.7964755222894806,308.641975308642,114,171,57,57
0,58,9.703125,10.765625,-5668.124591800243,0.7607591372517728,308.641975308642,116,174,58,58
0,59,9.890625,10.953125,-5668.247582198948,0.7076518327925188,308.641975308642,118,177,59,59
0,60,10.140625,11.203125,-5668.361436532449,0.6423377284420977,308.641975308642,120,180,60,60
0,61,10.390625,11.453125,-5668.466188688718,0.5690619210850576,308.641975308642,122,183,61,61
0,62,10.640625,11.703125,-5668.563865048164,0.5663579026780132,308.641975308642,124,186,62,62
0,63,10.765625,11.875,-5668.655452729668,0.583402414774016,308.641975308642,126,189,63,63
0,64,10.953125,12.0625,-5668.739828928497,0.5853184177787689,308.641975308642,128,192,64,64
0,65,11.140625,12.25,-5668.816113203664,0.575505958747931,308.641975308642,130,195,65,65
0,66,11.265625,12.4375,-5668.885363059949,0.5558460453385918,308.641975308642,132,198,66,66
0,67,11.390625,12.625,-5668.947575196716,0.5299786393855501,308.641975308642,134,201,67,67
0,68,11.578125,12.8125,-5669.003738011082,0.5009254696545691,308.641975308642,136,204,68,68
0,69,11.703125,13.0,-5669.054910832056,0.47097337787712856,308.641975308642,138,207,69,69
0,70,11.828125,13.1875,-5669.101900249666,0.4417287021815097,308.641975308642,140,210,70,70
0,71,11.953125,13.3125,-5669.145692805398,0.41369977785047896,308.641975308642,142,213,71,71
0,72,12.140625,13.5,-5669.1871570771,0.3867236985233151,308.641975308642,144,216,72,72
0,73,12.265625,13.6875,-5669.226248100971,0.36025364174059726,308.641975308642,146,219,73,73
0,74,12.453125,13.875,-5669.262908644103,0.34364143475193687,308.641975308642,148,222,74,74
0,75,12.640625,14.0625,-5669.297996265471,0.33966960596633644,308.641975308642,150,225,75,75
0,76,12.828125,14.25,-5669.332282044564,0.3379215062975893,308.641975308642,152,228,76,76
0,77,13.015625,14.4375,-5669.365023048344,0.35182539104313415,308.641975308642,154,231,77,77
0,78,13.203125,14.625,-5669.395422497454,0.35884688116317687,308.641975308642,156,234,78,78
0,79,13.390625,14.875,-5669.424906607285,0.3547261769846073,308.641975308642,158,237,79,79
0,80,13.453125,15.0625,-5669.453685861059,0.3440473913132269,308.641975308642,160,240,80,80
0,81,13.75,15.359375,-5669.48099636561,0.3294426204162848,308.641975308642,162,243,81,81
0,82,14.0,15.609375,-5669.507400278617,0.3384745827231166,308.641975308642,164,246,82,82
0,83,14.1875,15.796875,-5669.533952545381,0.34105215210225026,308.641975308642,166,249,83,83
0,84,14.359375,15.96875,-5669.561463929156,0.3369690586936196,308.641975308642,168,252,84,84
0,85,14.609375,16.21875,-5669.590420144702,0.326277432990592,308.641975308642,170,255,85,85
0,86,14.796875,16.40625,-5669.620952393194,0.30927446762071753,308.641975308642,172,258,86,86
