,Iteration,pararel_time,total_time,now_obj,now_conv,now_lips,num_call_obj,num_call_nbl,num_call_proj,num_call_conv
0,54,68.5625,543.015625,-359.7254427519819,0.702938082966308,0.14641000000000004,166,162,54,54
0,55,69.796875,552.6875,-292.416898340834,0.019066343541407474,0.14641000000000004,169,165,55,55
0,56,71.015625,562.5,-363.17237107252924,0.7029404346412138,0.14641000000000004,172,168,56,56
0,57,72.234375,572.140625,-275.15408502582216,0.02149043006827677,0.14641000000000004,175,171,57,57
0,58,73.40625,581.671875,-359.6276487617478,0.702942586426051,0.14641000000000004,178,174,58,58
0,59,74.671875,591.5625,-292.81893418249933,0.019062541752657362,0.14641000000000004,181,177,59,59
0,60,75.875,601.375,-363.1901080805858,0.7029445582690924,0.14641000000000004,184,180,60,60
0,61,77.078125,611.890625,-275.1549935387514,0.021725205220441617,0.14641000000000004,187,183,61,61
0,62,78.265625,621.59375,-359.5941526342365,0.7029463679871064,0.14641000000000004,190,186,62,62
0,63,79.421875,631.109375,-292.38609975012866,0.01905912068533119,0.14641000000000004,193,189,63,63
0,64,80.515625,640.59375,-363.15445611378647,0.702948031478272,0.14641000000000004,196,192,64,64
0,65,81.671875,650.046875,-275.1559532069665,0.02144535453574633,0.14641000000000004,199,195,65,65
0,66,82.828125,659.59375,-359.50427072472974,0.702949562929356,0.14641000000000004,202,198,66,66
0,67,84.078125,669.46875,-292.90261148081186,0.019056019747839707,0.14641000000000004,205,201,67,67
0,68,85.203125,678.984375,-363.1811794694123,0.7029509749978005,0.14641000000000004,208,204,68,68
0,69,86.34375,688.515625,-275.1565226945302,0.02175534426270788,0.14641000000000004,211,207,69,69
0,70,87.46875,698.078125,-359.4935270036131,0.7029522789818088,0.14641000000000004,214,210,70,70
0,71,88.609375,707.53125,-292.3275759848662,0.019053191813375978,0.14641000000000004,217,213,71,71
0,72,89.765625,717.078125,-363.1377966576763,0.7029534849700237,0.14641000000000004,220,216,72,72
0,73,90.921875,726.671875,-275.1572626953383,0.02139033568609993,0.14641000000000004,223,219,73,73
0,74,92.046875,736.15625,-359.4035190262429,0.7029546019817529,0.14641000000000004,226,222,74,74
