,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_nbl
0,0,0.0,0.0,2000000.0,1.7976931348623157e+308,0,0
0,1,115.125,114.9375,309763.20365244575,1690236.7963475543,49,1
0,2,226.984375,226.703125,302972.8257858062,6790.377866639523,74,2
0,3,334.78125,334.5,297856.37433280965,5116.451452996582,96,3
0,4,441.734375,441.40625,292918.10154290806,4938.272789901588,119,4
0,5,542.96875,542.59375,289169.38940875744,3748.7121341506136,144,5
0,6,653.8125,653.390625,285954.9161229795,3214.47328577796,168,6
0,7,759.8125,759.390625,283416.65186913067,2538.2642538488144,192,7
0,8,877.125,876.703125,281211.5214089459,2205.130460184766,216,8
0,9,993.3125,992.796875,279469.76342023315,1741.7579887127504,238,9
0,10,1101.515625,1101.0,278056.04497761343,1413.71844261972,262,10
0,11,1209.96875,1209.421875,276855.0204877609,1201.0244898525416,286,11
0,12,1339.4375,1338.796875,275634.08848966105,1220.9319980998407,310,12
0,13,1442.96875,1442.234375,274637.98058210424,996.1079075568123,333,13
0,14,1548.203125,1547.421875,273776.5928068666,861.3877752376138,355,14
0,15,1665.65625,1664.78125,273284.37126396707,492.22154289955506,375,15
0,16,1778.53125,1777.609375,272679.85325285164,604.5180111154332,398,16
0,17,1899.390625,1898.375,272067.1265949193,612.7266579323332,420,17
0,18,2007.453125,2006.4375,271500.8193982898,566.3071966295247,444,18
0,19,2126.015625,2124.953125,271046.27575712255,454.5436411672272,467,19
0,20,2229.6875,2228.578125,270655.38653115,390.8892259725253,490,20
0,21,2337.671875,2336.46875,270307.31186126574,348.07466988428496,513,21
0,22,2450.46875,2449.171875,269995.62943945086,311.6824218148831,537,22
0,23,2551.25,2549.859375,269657.2889893707,338.34045008016983,559,23
0,24,2666.078125,2664.640625,269329.77904489834,327.5099444723455,583,24
0,25,2776.390625,2774.859375,269132.9522911959,196.82675370242214,607,25
0,26,2888.84375,2887.21875,268910.02349114005,222.92880005587358,631,26
0,27,2995.4375,2993.765625,268670.8038355744,239.21965556562645,655,27
0,28,3100.609375,3098.796875,268467.02291063877,203.78092493565055,677,28
0,29,3206.984375,3205.171875,268250.6275805499,216.39533008885337,701,29
0,30,3306.09375,3304.28125,268094.035253441,156.59232710889773,725,30
0,31,3414.0,3412.1875,267939.5840830297,154.45117041131016,748,31
0,32,3513.6875,3511.875,267786.8504711304,152.73361189931165,772,32
0,33,3627.09375,3625.234375,267641.5891987429,145.26127238752088,795,33
0,34,3732.65625,3730.796875,267499.46401241125,142.12518633162836,814,34
0,35,3837.578125,3835.625,267369.7243116188,129.73970079247374,835,35
0,36,3952.1875,3950.1875,267247.26757875655,122.45673286222154,858,36
0,37,4066.0,4063.953125,267142.2564218628,105.01115689374274,879,37
0,38,4188.234375,4186.140625,267060.64172875683,81.6146931059775,902,38
0,39,4300.0625,4297.96875,266981.14604316786,79.4956855889759,926,39
0,40,4410.53125,4408.4375,266886.4139546912,94.73208847665228,949,40
0,41,4514.203125,4512.0625,266819.77244443155,66.64151025965111,973,41
0,42,4632.328125,4630.140625,266744.0651015542,75.70734287734376,997,42
0,43,4739.453125,4737.125,266678.70096787816,65.36413367604837,1018,43
0,44,4844.84375,4842.515625,266624.7489247478,53.95204313035356,1042,44
0,45,4950.828125,4948.40625,266557.2298367039,67.5190880438895,1066,45
0,46,5070.125,5067.703125,266507.56603154284,49.663805161078926,1090,46
0,47,5177.921875,5175.453125,266436.70306972164,70.86296182119986,1111,47
0,48,5284.203125,5281.640625,266390.06490651495,46.63816320669139,1135,48
