,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_dir
0,0,0.0,0.0,1235633.8134759367,1.7976931348623157e+308,0,0
0,1,5391.8125,5908.171875,842442.5190534428,393191.2944224939,1,1
0,2,7834.59375,8581.234375,675274.2152857387,167168.30376770406,2,2
0,3,11401.65625,12487.328125,604550.2344328519,70723.9808528868,3,3
0,4,14667.140625,16064.375,570196.2690498821,34353.96538296982,4,4
0,5,18187.578125,19922.234375,548727.1441792035,21469.124870678526,5,5
0,6,21874.765625,23965.265625,535789.0287619873,12938.115417216206,6,6
0,7,26169.265625,28673.765625,527587.2606566435,8201.7681053438,7,7
0,8,29980.0625,32851.515625,521978.4260923243,5608.83456431923,8,8
0,9,32779.953125,35922.625,518040.29627765436,3938.1298146699555,9,9
0,10,37367.375,40962.296875,515109.18724462064,2931.1090330337174,10,10
0,11,41771.671875,45797.390625,512940.71920053626,2168.4680440843804,11,11
0,12,46236.4375,50704.65625,511247.6612337396,1693.0579667966813,12,12
0,13,50078.453125,54926.015625,509933.83509132,1313.8261424195953,13,13
0,14,54580.703125,59875.828125,508868.8617761574,1064.9733151625842,14,14
0,15,57959.25,63592.734375,508011.0949085582,857.7668675992172,15,15
0,16,61474.609375,67453.625,507301.03444898763,710.0604595705518,16,16
0,17,64848.5,71162.046875,506715.669074664,585.3653743236209,17,17
0,18,68463.125,75129.9375,506215.9658495034,499.7032251605997,18,18
0,19,71744.21875,78729.671875,505794.4508445959,421.51500490750186,19,19
0,20,75259.5,82592.171875,505432.6570123832,361.79383221268654,20,20
0,21,78775.453125,86456.109375,505122.54188830825,310.11512407497503,21,21
0,22,82278.625,90305.0625,504850.53089869727,272.01098961097887,22,22
0,23,85808.140625,94183.9375,504613.81314185035,236.71775684691966,23,23
0,24,89315.46875,98039.890625,504405.75228032755,208.0608615227975,24,24
0,25,92953.171875,102033.0625,504222.36568409455,183.3865962330019,25,25
0,26,96741.390625,106193.953125,504059.17176508816,163.19391900638584,26,26
0,27,100406.234375,110223.0,503913.892469496,145.27929559216136,27,27
0,28,104112.15625,114296.1875,503783.160179178,130.73229031800292,28,28
0,29,107778.046875,118326.171875,503665.94328305474,117.21689612325281,29,29
