,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_nbl
0,56,2377.921875,2377.375,270866.5360884946,45.852798311330844,1586,56
0,57,2414.140625,2413.59375,270826.87490586576,39.6611826288281,1614,57
0,58,2449.96875,2449.40625,270787.58671198745,39.28819387831027,1640,58
0,59,2485.609375,2485.03125,270752.29636996577,35.290342021675315,1668,59
0,60,2527.0625,2526.46875,270711.5348969436,40.7614730221685,1696,60
0,61,2568.84375,2568.25,270675.3324976899,36.2023992537288,1724,61
0,62,2607.484375,2606.890625,270646.9147079671,28.417789722792804,1751,62
0,63,2649.359375,2648.75,270612.2208830636,34.693824903457426,1778,63
0,64,2695.4375,2694.828125,270581.7903759378,30.430507125798613,1807,64
0,65,2740.890625,2740.28125,270547.9702195275,33.820156410336494,1835,65
0,66,2788.296875,2787.671875,270523.2542497007,24.715969826793298,1863,66
0,67,2833.171875,2832.53125,270488.12011100084,35.13413869985379,1889,67
0,68,2879.71875,2879.078125,270467.02357597294,21.096535027900245,1917,68
0,69,2929.78125,2929.125,270444.98962874035,22.033947232586797,1945,69
0,70,2979.890625,2979.21875,270419.06632976606,25.923298974288628,1973,70
0,71,3026.046875,3025.375,270397.91572599614,21.15060376992915,1999,71
0,72,3075.71875,3075.046875,270372.7518691106,25.16385688551236,2027,72
0,73,3122.453125,3121.765625,270347.97185248975,24.780016620876268,2055,73
0,74,3169.0,3168.3125,270327.9579010583,20.013951431436,2084,74
0,75,3212.46875,3211.78125,270309.77289634035,18.18500471796142,2108,75
0,76,3254.875,3254.171875,270283.229769723,26.54312661732547,2136,76
0,77,3293.578125,3292.859375,270272.3619136413,10.867856081749778,2165,77
0,78,3336.34375,3335.625,270253.7622106029,18.599703038402367,2191,78
0,79,3380.09375,3379.359375,270241.3241220742,12.438088528695516,2219,79
0,80,3420.40625,3419.640625,270219.30593136913,22.018190705042798,2247,80
0,81,3459.328125,3458.546875,270200.56475479115,18.741176577983424,2275,81
0,82,3498.09375,3497.28125,270186.7440996654,13.820655125775374,2303,82
0,83,3536.328125,3535.484375,270170.2932250539,16.450874611502513,2331,83
0,84,3577.546875,3576.703125,270154.94291998824,15.350305065629072,2359,84
0,85,3615.75,3614.90625,270135.96448226774,18.978437720506918,2386,85
0,86,3657.78125,3656.921875,270121.2294105124,14.735071755363606,2414,86
0,87,3702.578125,3701.71875,270107.59438841656,13.635022095812019,2442,87
0,88,3749.25,3748.375,270102.0896925201,5.504695896466728,2472,88
0,89,3797.0,3796.125,270082.28864779056,19.801044729538262,2500,89
0,90,3846.828125,3845.953125,270072.8858975473,9.402750243258197,2528,90
0,91,3895.015625,3894.140625,270053.3513974856,19.534500061708968,2555,91
0,92,3944.125,3943.25,270043.68667160324,9.664725882350467,2583,92
0,93,3993.578125,3992.6875,270029.0073167162,14.679354887048248,2610,93
0,94,4044.609375,4043.703125,270019.99868076394,9.008635952253826,2639,94
0,95,4097.265625,4096.34375,270004.8954081938,15.103272570122499,2667,95
0,96,4144.5,4143.5625,269996.64631937275,8.249088821059559,2695,96
0,97,4192.4375,4191.5,269986.5746959092,10.071623463532887,2723,97
0,98,4241.90625,4240.96875,269975.63514757133,10.939548337890301,2751,98
0,99,4295.859375,4294.921875,269966.3222903038,9.312857267505024,2780,99
0,100,4348.03125,4347.09375,269953.6606241746,12.66166612925008,2808,100
0,101,4398.3125,4397.359375,269942.4816565789,11.17896759568248,2835,101
0,102,4447.453125,4446.484375,269938.9509254288,3.5307311500655487,2863,102
0,103,4496.78125,4495.8125,269926.2320162667,12.718909162154887,2889,103
0,104,4544.90625,4543.921875,269914.71423476824,11.517781498434488,2916,104
0,105,4591.15625,4590.15625,269910.1818523594,4.532382408855483,2944,105
0,106,4639.109375,4638.109375,269899.76494213584,10.416910223546438,2972,106
0,107,4684.359375,4683.34375,269893.33146504743,6.43347708840156,3001,107
0,108,4724.90625,4723.875,269885.0835885701,8.247876477311365,3029,108
0,109,4773.625,4772.578125,269878.4956481418,6.5879404283477925,3058,109
0,110,4820.78125,4819.71875,269869.34348611283,9.152162028942257,3086,110
0,111,4868.578125,4867.515625,269863.6798931191,5.663592993747443,3114,111
0,112,4914.203125,4913.140625,269856.6303776062,7.04951551288832,3143,112
