,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_dir
0,0,0.0,0.0,1224337.835056312,1.7976931348623157e+308,0,0
0,1,65708.671875,67532.515625,474172.4112037665,750165.4238525454,38,1
0,2,94508.140625,97130.671875,355160.0639453945,119012.347258372,58,2
0,3,126989.515625,130513.203125,299268.16723999777,55891.896705396706,76,3
0,4,140929.765625,144842.640625,279052.86358984845,20215.30365014932,91,4
0,5,169225.9375,173922.78125,267637.65935402515,11415.204235823301,108,5
0,6,193791.921875,199160.640625,266341.4917700688,1296.167583956325,125,6
0,7,215407.890625,221367.15625,263749.49223119684,2591.9995388719835,141,7
0,8,236241.71875,242771.453125,262746.5699819665,1002.9222492303234,156,8
0,9,256706.25,263797.9375,262229.99490222865,516.5750797378714,171,9
0,10,275047.046875,282640.546875,261958.8608770743,271.1340251543443,185,10
0,11,296108.90625,304287.0,261795.97889590988,162.88198116442072,200,11
0,12,314770.21875,323477.359375,261724.96243332286,71.01646258702385,213,12
0,13,331957.671875,341155.9375,261690.15984258166,34.80259074119385,227,13
0,14,343652.59375,353185.421875,261662.5886066709,27.571235910756513,237,14
0,15,358336.1875,368289.71875,261643.04603855882,19.542568112083245,249,15
0,16,371638.109375,381970.1875,261629.24049401702,13.805544541799463,262,16
0,17,387188.234375,397953.671875,261620.16965501496,9.070839002059074,276,17
0,18,398457.046875,409537.65625,261611.9706393105,8.19901570447837,287,18
0,19,414087.71875,425613.75,261606.02307325596,5.947566054528579,301,19
0,20,422311.09375,434069.546875,261596.97594769415,9.047125561803114,310,20
0,21,437860.9375,450055.703125,261593.0075426516,3.9684050425421447,323,21
0,22,445953.5,458374.78125,261588.1301729288,4.877369722817093,332,22
0,23,456385.5,469100.53125,261586.80319759907,1.3269753297208808,343,23
0,24,463351.359375,476262.28125,261586.29348154672,0.5097160523582716,351,24
0,25,471364.0625,484498.859375,261586.06234373935,0.23113780736457556,360,25
0,26,477163.953125,490460.140625,261585.89782872435,0.16451501499977894,367,26
0,27,485494.890625,499025.515625,261585.76926588814,0.12856283620931208,376,27
0,28,491673.609375,505379.703125,261585.62597123758,0.14329465056653135,383,28
0,29,500800.125,514762.0625,261585.53991835492,0.08605288265971467,392,29
