,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_nbl
0,0,0.0,0.0,2000000.0,1.7976931348623157e+308,0,0
0,1,5.5,5.5,532391.3769638266,1467608.6230361734,49,1
0,2,13.296875,13.296875,530867.3733830391,1524.003580787452,75,2
0,3,21.125,21.125,530000.9759268467,866.3974561924115,101,3
0,4,28.765625,28.765625,529230.7583423211,770.2175845255842,124,4
0,5,37.078125,37.078125,525782.9562537279,3447.802088593249,147,5
0,6,45.421875,45.40625,525769.1289660111,13.827287716791034,175,6
0,7,54.578125,54.5625,525752.6958861739,16.433079837239347,203,7
0,8,62.96875,62.953125,524536.0544254198,1216.6414607540937,228,8
0,9,70.546875,70.53125,523262.17357264995,1273.8808527698275,250,9
0,10,78.4375,78.421875,521796.3211389149,1465.852433735039,269,10
0,11,86.4375,86.421875,519484.71573670744,2311.6054022074677,292,11
0,12,93.609375,93.578125,519212.5432219959,272.1725147115649,317,12
0,13,102.015625,101.984375,519043.82444500393,168.7187769919401,338,13
0,14,110.375,110.34375,518428.27581536,615.5486296439194,362,14
0,15,118.40625,118.375,518091.36408885807,336.91172650194494,387,15
0,16,126.046875,126.015625,517915.8002563592,175.56383249885403,412,16
0,17,133.609375,133.578125,516493.61345441965,1422.1868019395624,435,17
0,18,139.265625,139.234375,516486.0636939805,7.549760439142119,462,18
0,19,147.265625,147.21875,516313.4816210697,172.58207291079452,486,19
0,20,155.546875,155.5,515899.3625275742,414.1190934955375,509,20
0,21,163.6875,163.640625,515835.0984710588,64.26405651535606,533,21
0,22,171.84375,171.796875,515526.92396002763,308.17451103118947,556,22
0,23,180.3125,180.265625,515433.8394785573,93.08448147034505,580,23
0,24,189.53125,189.484375,514083.72420412453,1350.1152744327555,603,24
0,25,197.765625,197.71875,513817.26704365114,266.45716047339374,624,25
0,26,205.953125,205.90625,513468.72094200517,348.546101645974,648,26
0,27,213.828125,213.78125,512236.8716457937,1231.8492962114397,671,27
0,28,222.375,222.328125,512141.2131925088,95.65845328493742,696,28
0,29,230.484375,230.4375,512116.16165602824,25.05153648054693,721,29
0,30,238.5,238.453125,511647.5667778599,468.5948781683692,741,30
0,31,246.578125,246.53125,511273.7487322688,373.8180455910624,764,31
0,32,254.8125,254.75,511029.8747757856,243.8739564832067,786,32
0,33,263.578125,263.515625,510884.5742154829,145.30056030268315,809,33
0,34,272.25,272.1875,510847.42656235327,37.14765312965028,835,34
0,35,280.65625,280.59375,510774.3430806607,73.08348169259261,860,35
0,36,289.078125,289.015625,509912.72604326083,861.6170373998466,883,36
0,37,297.09375,297.03125,509356.4822814538,556.2437618070398,906,37
0,38,305.171875,305.109375,509356.4656044657,0.016676988103426993,938,38
0,39,313.75,313.6875,509355.19764528284,1.2679591828491539,967,39
0,40,322.125,322.0625,509284.83699015086,70.36065513198264,991,40
0,41,331.515625,331.453125,509280.17083044065,4.666159710206557,1020,41
0,42,339.8125,339.75,509256.81357192266,23.357258517993614,1046,42
0,43,348.0,347.9375,509255.94537003106,0.86820189160062,1075,43
0,44,356.796875,356.734375,509255.5257583936,0.41961163748055696,1106,44
0,45,365.34375,365.28125,509244.9006901973,10.62506819627015,1132,45
0,46,373.171875,373.09375,509241.96046705724,2.9402231400599703,1161,46
0,47,381.8125,381.734375,509102.20185915136,139.75860790588195,1185,47
0,48,390.625,390.546875,508900.64695370046,201.55490545090288,1208,48
0,49,399.125,399.046875,508448.54968329886,452.09727040160215,1231,49
0,50,407.3125,407.234375,507971.27080615994,477.27887713891687,1254,50
0,51,415.546875,415.46875,507839.3533363124,131.9174698475399,1277,51
0,52,424.6875,424.609375,507750.7721182979,88.58121801452944,1302,52
0,53,432.46875,432.390625,507432.983968374,317.78814992384287,1325,53
0,54,440.40625,440.3125,507202.4527298332,230.53123854083242,1348,54
0,55,448.484375,448.375,507129.8701205468,72.58260928641539,1373,55
0,56,456.421875,456.3125,507059.40375989117,70.46636065561324,1398,56
0,57,464.78125,464.671875,506651.71471623244,407.6890436587273,1420,57
0,58,472.296875,472.1875,506557.97663924296,93.73807698948076,1444,58
0,59,480.5625,480.453125,506449.0335324131,108.94310682988726,1468,59
0,60,488.671875,488.5625,506442.82104330393,6.2124891091370955,1495,60
0,61,496.953125,496.84375,506039.1530126055,403.66803069843445,1516,61
0,62,504.375,504.265625,505901.7815932438,137.3714193616761,1540,62
0,63,513.375,513.265625,505876.5863830541,25.19521018973319,1565,63
0,64,522.53125,522.421875,505696.0517477599,180.53463529417058,1587,64
0,65,530.53125,530.421875,505549.7488168288,146.30293093109503,1608,65
0,66,539.109375,539.0,505536.2294978297,13.519318999140523,1634,66
0,67,547.34375,547.21875,505501.344504253,34.884993576677516,1657,67
0,68,556.015625,555.890625,505364.7446531954,136.5998510576319,1680,68
0,69,564.046875,563.921875,505363.2334332189,1.5112199764698744,1707,69
0,70,571.359375,571.234375,505361.8098810016,1.4235522173112258,1730,70
0,71,580.109375,579.984375,505347.381887435,14.427993566612713,1754,71
0,72,587.40625,587.265625,505346.96868317446,0.4132042605197057,1786,72
0,73,596.078125,595.921875,505346.9232062817,0.04547689278842881,1816,73
0,74,604.34375,604.1875,505344.5769886399,2.34621764178155,1844,74
0,75,613.203125,613.046875,505342.47492195794,2.102066681953147,1873,75
0,76,621.90625,621.75,505342.11466659966,0.3602553582750261,1903,76
0,77,631.03125,630.875,505341.0441192256,1.070547374081798,1931,77
0,78,639.59375,639.4375,505256.7235716932,84.32054753240664,1953,78
0,79,647.5,647.328125,505162.66082885826,94.06274283491075,1976,79
0,80,655.9375,655.765625,505096.6664951929,65.99433366535231,2000,80
0,81,664.3125,664.140625,505063.1473522171,33.51914297579788,2025,81
0,82,673.03125,672.859375,504948.2274606698,114.91989154729526,2048,82
0,83,681.59375,681.421875,504895.1346716656,53.09278900420759,2071,83
0,84,690.953125,690.78125,504873.385332732,21.749338933615945,2093,84
0,85,699.359375,699.1875,504792.2808805088,81.10445222316775,2115,85
0,86,708.40625,708.234375,504750.5413639519,41.739516556903254,2139,86
0,87,717.296875,717.125,504735.58816901554,14.953194936388172,2163,87
0,88,726.734375,726.5625,504680.0214536087,55.56671540683601,2186,88
0,89,734.53125,734.359375,504619.2964341503,60.72501945839031,2204,89
0,90,743.359375,743.1875,504578.89825497835,40.398179171956144,2227,90
0,91,751.390625,751.21875,504544.4338557222,34.464399256161414,2250,91
0,92,759.3125,759.125,504497.44188927155,46.99196645064512,2273,92
0,93,767.6875,767.5,504483.105217178,14.336672093544621,2297,93
0,94,774.953125,774.765625,504351.9483412913,131.15687588672154,2319,94
0,95,782.8125,782.625,504329.81291840144,22.13542288984172,2344,95
0,96,791.484375,791.296875,504213.7805757119,116.03234268951928,2365,96
0,97,800.46875,800.28125,504213.5208775729,0.2596981390379369,2393,97
0,98,808.875,808.671875,504210.9160760869,2.6048014859552495,2417,98
0,99,816.8125,816.609375,504159.2936180936,51.62245799333323,2439,99
0,100,824.640625,824.4375,504159.28908693633,0.004531157261226326,2475,100
0,101,832.8125,832.609375,504159.28277164174,0.0063152945949696004,2511,101
0,102,841.140625,840.9375,504159.2623605731,0.020411068631801754,2544,102
0,103,848.984375,848.78125,504158.88865845924,0.3737021138658747,2571,103
0,104,856.515625,856.3125,504158.20162662654,0.687031832698267,2598,104
0,105,864.109375,863.90625,504151.8433331563,6.358293470228091,2622,105
0,106,871.5625,871.34375,504101.4244336992,50.41889945708681,2645,106
0,107,879.203125,878.984375,504061.69071430154,39.73371939768549,2668,107
0,108,887.96875,887.75,504044.3503386117,17.34037568984786,2691,108
0,109,895.9375,895.71875,503995.2384752693,49.11186334240483,2713,109
0,110,903.8125,903.578125,503958.3427191989,36.89575607038569,2737,110
0,111,911.984375,911.734375,503955.7686452459,2.5740739530301653,2760,111
0,112,920.5625,920.3125,503954.4400177347,1.3286275111604482,2783,112
0,113,929.15625,928.890625,503948.9186671607,5.5213505740393884,2808,113
0,114,936.84375,936.578125,503882.57410707365,66.34456008701818,2830,114
0,115,944.59375,944.328125,503872.97729091643,9.596816157223657,2855,115
0,116,952.96875,952.703125,503856.5709150904,16.406375826045405,2879,116
0,117,961.0625,960.796875,503781.6972863149,74.87362877547275,2901,117
0,118,969.515625,969.25,503778.02460206684,3.672684248071164,2924,118
0,119,977.453125,977.1875,503719.3591906103,58.66541145654628,2946,119
0,120,985.078125,984.8125,503704.3078090333,15.05138157698093,2971,120
0,121,993.234375,992.96875,503693.79775543866,10.510053594654892,2995,121
0,122,1001.484375,1001.21875,503659.2777528752,34.52000256348401,3016,122
0,123,1009.78125,1009.515625,503635.7837465836,23.494006291555706,3040,123
0,124,1018.515625,1018.25,503599.393954659,36.38979192462284,3063,124
0,125,1026.375,1026.09375,503583.0807697139,16.313184945087414,3085,125
0,126,1034.515625,1034.234375,503570.9668747828,12.113894931098912,3107,126
0,127,1042.953125,1042.65625,503552.15179718577,18.815077597042546,3130,127
0,128,1050.734375,1050.421875,503534.78729249607,17.36450468969997,3152,128
0,129,1058.140625,1057.828125,503505.5213177754,29.265974720648956,3175,129
0,130,1066.875,1066.5625,503480.1551016967,25.36621607869165,3198,130
0,131,1075.15625,1074.84375,503468.14786583,12.007235866738483,3222,131
0,132,1083.609375,1083.28125,503467.7989941506,0.3488716793945059,3249,132
0,133,1092.375,1092.046875,503461.7367435482,6.062250602408312,3273,133
0,134,1100.890625,1100.5625,503451.9152613522,9.821482195984572,3297,134
0,135,1109.703125,1109.375,503400.4856274028,51.42963394941762,3320,135
0,136,1118.03125,1117.703125,503392.12477609096,8.360851311823353,3344,136
0,137,1125.8125,1125.46875,503356.2712252125,35.85355087846983,3367,137
0,138,1134.296875,1133.953125,503350.9726240627,5.298601149814203,3390,138
0,139,1142.296875,1141.953125,503348.2805115031,2.6921125595690683,3415,139
0,140,1150.609375,1150.25,503315.1498218298,33.13068967330037,3438,140
0,141,1159.078125,1158.71875,503297.1979447664,17.95187706343131,3462,141
0,142,1167.96875,1167.609375,503276.82765131776,20.37029344862094,3484,142
0,143,1176.671875,1176.296875,503267.6285997247,9.199051593081094,3508,143
0,144,1185.078125,1184.703125,503261.4303327146,6.198267010098789,3533,144
0,145,1193.109375,1192.734375,503240.6240508164,20.80628189817071,3555,145
0,146,1201.765625,1201.390625,503240.3539646738,0.2700861425837502,3577,146
0,147,1209.0,1208.625,503240.35151964426,0.0024450295604765415,3612,147
0,148,1218.453125,1218.078125,503240.1860040041,0.16551564016845077,3639,148
0,149,1226.90625,1226.53125,503218.3542969888,21.831707015284337,3661,149
0,150,1235.171875,1234.796875,503214.217219266,4.137077722814865,3686,150
