,Iteration,pararel_time,total_time,now_obj,now_conv,now_lips,num_call_obj,num_call_nbl,num_call_proj,num_call_conv
0,0,0.0,0.0,351.0390852462781,60.218362092568626,73.09941520467835,0,0,0,0
0,1,1.234375,2.40625,-657.2964553758962,36.252428291773384,73.09941520467835,2,3,1,1
0,2,2.484375,4.90625,-1082.3973637561312,25.565172379391026,73.09941520467835,4,6,2,2
0,3,3.671875,7.21875,-1353.0973901837776,17.946162845122284,73.09941520467835,6,9,3,3
0,4,4.921875,9.59375,-1529.0966684006937,13.271939272798516,73.09941520467835,8,12,4,4
0,5,6.109375,11.90625,-1637.401570541921,10.275387413452098,73.09941520467835,10,15,5,5
0,6,7.296875,14.21875,-1706.3117215563225,7.9205124096184125,73.09941520467835,12,18,6,6
0,7,8.671875,16.890625,-1753.5615100777459,6.065908554005495,73.09941520467835,14,21,7,7
0,8,9.734375,18.890625,-1789.100139671438,5.802659477771591,73.09941520467835,16,24,8,8
0,9,10.96875,21.1875,-1815.66571105587,9.581257952182618,73.09941520467835,18,27,9,9
0,10,12.03125,23.375,-1829.667580701856,24.69308286722871,73.09941520467835,20,30,10,10
0,11,13.09375,25.5,-1813.1712250947783,30.935022576042364,73.09941520467835,22,33,11,11
0,12,14.34375,28.0625,-1691.1895241421364,91.46451076968658,73.09941520467835,24,36,12,12
0,13,15.46875,30.125,-1439.0448289837245,83.15589266931893,73.09941520467835,26,39,13,13
0,14,16.828125,32.78125,-1678.0004783163267,38.61315916185313,117.72733918128657,33,42,14,14
0,15,18.015625,34.90625,-1744.6688005070464,29.482030305910794,117.72733918128657,35,45,15,15
0,16,19.328125,37.34375,-1836.5545426340032,21.23611307762969,117.72733918128657,37,48,16,16
0,17,20.453125,39.59375,-1889.257041990572,9.331764018690187,117.72733918128657,39,51,17,17
0,18,21.578125,41.828125,-1911.7637342686746,9.194490639417076,117.72733918128657,41,54,18,18
0,19,22.703125,44.078125,-1923.9922641139603,3.9703877672528165,117.72733918128657,43,57,19,19
0,20,23.953125,46.5,-1931.5834854542277,5.586114858065734,117.72733918128657,45,60,20,20
0,21,25.203125,48.8125,-1936.4604492148947,2.8841209903755995,117.72733918128657,47,63,21,21
0,22,26.5625,51.234375,-1939.8568414015597,2.512218900563063,117.72733918128657,49,66,22,22
0,23,27.5625,53.234375,-1942.6272043838294,1.389304857849332,117.72733918128657,51,69,23,23
0,24,28.75,55.53125,-1944.9572692662946,1.237556496270809,117.72733918128657,53,72,24,24
0,25,29.8125,57.65625,-1946.8812649900456,1.1209226630179465,117.72733918128657,55,75,25,25
0,26,31.03125,60.0,-1948.4165091303262,1.1703744242002916,117.72733918128657,57,78,26,26
0,27,32.09375,62.0,-1949.6538665389367,1.1716772286198767,117.72733918128657,59,81,27,27
0,28,33.15625,64.1875,-1950.7005482182917,1.1286613057124804,117.72733918128657,61,84,28,28
0,29,34.40625,66.5625,-1951.6224695437713,1.022357781797524,117.72733918128657,63,87,29,29
0,30,35.65625,68.875,-1952.4419343793102,0.9105208831266101,117.72733918128657,65,90,30,30
0,31,36.71875,71.0,-1953.1611014196696,0.8042731069538842,117.72733918128657,67,93,31,31
0,32,37.90625,73.375,-1953.7792723394728,0.6079261520893162,117.72733918128657,69,96,32,32
0,33,39.03125,75.625,-1954.3099521870558,0.5318074407976475,117.72733918128657,71,99,33,33
0,34,40.15625,78.0,-1954.773269051981,0.49162329362627555,117.72733918128657,73,102,34,34
0,35,41.40625,80.4375,-1955.1916471333893,0.45192295378954705,117.72733918128657,75,105,35,35
