,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_dir
0,0,0.0,0.0,724001.4699170522,1.7976931348623157e+308,0,0
0,1,458.953125,484.453125,530482.1422722767,193519.3276447755,1,1
0,2,863.5625,916.0625,477714.8651884735,52767.2770838032,2,2
0,3,1301.171875,1377.296875,463380.67438902706,14334.190799446427,3,3
0,4,1739.53125,1840.40625,456995.00896014937,6385.665428877692,4,4
0,5,2196.0625,2328.0625,453453.61874919065,3541.3902109587216,5,5
0,6,2682.421875,2842.546875,451237.63189054397,2215.9868586466764,6,6
0,7,3199.171875,3392.671875,449738.28305705386,1499.3488334901049,7,7
0,8,3685.40625,3906.65625,448666.1036558879,1072.1794011659804,8,8
0,9,4196.546875,4447.421875,447867.51239921653,798.5912566713523,9,9
0,10,4758.234375,5042.375,447253.40234144777,614.1100577687612,10,10
0,11,5240.75,5553.515625,446768.9264040918,484.47593735595,11,11
0,12,5728.90625,6071.296875,446378.815881633,390.11052245879546,12,12
0,13,6274.8125,6649.453125,446059.30654636386,319.50933526916197,13,13
0,14,6828.953125,7239.59375,445793.6123765407,265.6941698231385,14,14
0,15,7241.21875,7675.859375,445569.6772382533,223.93513828743016,15,15
0,16,7659.328125,8121.34375,445379.09243505297,190.58480320032686,16,16
0,17,8262.53125,8752.671875,445215.35672052635,163.73571452661417,17,17
0,18,8861.359375,9389.0,445073.1861052725,142.1706152538536,18,18
0,19,9279.453125,9831.84375,444948.7763160771,124.40978919540066,19,19
0,20,9706.171875,10281.046875,444839.45230731554,109.32400876155589,20,20
0,21,10127.4375,10727.828125,444742.6556791487,96.79662816686323,21,21
0,22,10757.0625,11396.078125,444656.6448634198,86.01081572886324,22,22
0,23,11387.34375,12061.609375,444579.52226257976,77.12260084005538,23,23
0,24,12024.4375,12736.171875,444510.20401557046,69.31824700930156,24,24
0,25,12523.5,13265.21875,444447.51164627296,62.69236929749604,25,25
0,26,13022.53125,13794.625,444390.80874084216,56.70290543080773,26,26
0,27,13503.640625,14303.484375,444339.17958821385,51.62915262830211,27,27
0,28,13989.234375,14814.578125,444292.10736525536,47.07222295849351,28,28
0,29,14642.03125,15505.75,444249.2094589543,42.897906301077455,29,29
0,30,15352.640625,16261.71875,444209.7131471564,39.49631179787684,30,30
0,31,16066.65625,17018.890625,444173.37041268236,36.342734474048484,31,31
0,32,16787.390625,17783.5,444139.8660848347,33.50432784768054,32,32
0,33,17511.484375,18550.34375,444108.8986089389,30.967475895769894,33,33
0,34,18171.875,19252.734375,444080.1728178031,28.725791135802865,34,34
0,35,18900.828125,20027.0625,444053.5685267282,26.60429107490927,35,35
0,36,19643.453125,20812.4375,444028.7837825777,24.784744150470942,36,36
0,37,20394.5625,21610.421875,444005.6814807267,23.10230185103137,37,37
0,38,21142.59375,22405.328125,443984.10664966225,21.57483106444124,38,38
0,39,21895.9375,23205.515625,443963.923263413,20.1833862492349,39,39
0,40,22419.40625,23762.359375,443944.8750130306,19.04825038241688,40,40
0,41,22947.390625,24322.203125,443927.12490265036,17.750110380235128,41,41
0,42,23476.515625,24882.828125,443910.4457907957,16.679111854638904,42,42
0,43,24011.21875,25446.03125,443894.75249093317,15.69329986255616,43,43
0,44,24538.765625,26005.078125,443879.96686323313,14.785627700039186,44,44
0,45,25064.140625,26561.203125,443866.0180790188,13.948784214328043,45,45
0,46,25596.625,27128.5625,443852.84264978894,13.1754292298574,46,46
0,47,26130.265625,27694.4375,443840.3808391518,12.461810637149028,47,47
0,48,26656.296875,28256.09375,443828.5820710234,11.798768128384836,48,48
0,49,27186.3125,28817.609375,443817.4022843819,11.179786641499959,49,49
0,50,27721.96875,29383.265625,443806.7981731851,10.604111196822487,50,50
0,51,28260.109375,29952.53125,443796.72970112745,10.068472057639156,51,51
0,52,28802.359375,30524.78125,443787.15962186933,9.570079258119222,52,52
