,Iteration,pararel_time,total_time,now_obj,now_conv,num_call_obj,num_call_dir
0,0,0.0,0.0,819016.7381226572,1.7976931348623157e+308,0,0
0,1,151.015625,154.5625,696116.8870429217,122899.85107973544,1,1
0,2,316.5,323.875,652750.4899073392,43366.39713558252,2,2
0,3,491.671875,502.9375,640117.9553758753,12632.534531463869,3,3
0,4,663.3125,678.453125,634664.5023261462,5453.4530497291125,4,4
0,5,925.8125,946.609375,631669.4301582855,2995.0721678606933,5,5
0,6,1188.078125,1214.9375,629802.3946470324,1867.0355112531688,6,6
0,7,1448.515625,1481.109375,628542.4715227436,1259.9231242887909,7,7
0,8,1712.9375,1751.40625,627643.2135072136,899.2580155299511,8,8
0,9,1983.734375,2028.09375,626973.9863221799,669.2271850337274,9,9
0,10,2244.265625,2294.25,626459.5709108892,514.4154112907127,10,10
0,11,2483.0625,2537.984375,626053.7176192391,405.8532916500699,11,11
0,12,2730.15625,2790.640625,625726.7212624613,326.9963567778468,12,12
0,13,2985.46875,3051.90625,625458.5513392449,268.16992321633734,13,13
0,14,3259.21875,3331.6875,625235.3878848932,223.16345435171388,14,14
0,15,3538.140625,3616.6875,625047.3987091321,187.98917576111853,15,15
0,16,3818.890625,3903.953125,624887.3682888208,160.03042031126097,16,16
0,17,4102.703125,4194.234375,624749.8196035362,137.5486852846807,17,17
0,18,4348.1875,4444.96875,624630.5432827545,119.27632078167517,18,18
0,19,4583.140625,4684.765625,624526.3336101194,104.20967263507191,19,19
0,20,4762.5,4868.203125,624434.5251934084,91.80841671105009,20,20
0,21,4942.84375,5052.484375,624353.4007249994,81.12446840899065,21,21
0,22,5123.203125,5237.265625,624281.181012948,72.21971205133013,22,22
0,23,5303.640625,5421.75,624216.5578159862,64.62319696182385,23,23
0,24,5482.625,5604.875,624158.4586850504,58.09913093585055,24,24
0,25,5733.140625,5860.921875,624106.129838123,52.32884692738298,25,25
0,26,5985.6875,6118.984375,624058.5867793926,47.54305873042904,26,26
0,27,6166.953125,6304.328125,624015.2341287229,43.352650669636205,27,27
0,28,6346.515625,6488.1875,623975.7888020334,39.44532668951433,28,28
0,29,6526.03125,6671.734375,623939.6903734605,36.09842857287731,29,29
0,30,6789.3125,6940.796875,623906.6725246357,33.01784882484935,30,30
0,31,7035.59375,7192.6875,623876.1571948892,30.51532974652946,31,31
0,32,7283.1875,7446.015625,623848.0047982894,28.15239659976214,32,32
0,33,7534.21875,7702.296875,623821.9580416612,26.046756628202274,33,33
0,34,7786.515625,7960.25,623797.802614827,24.15542683424428,34,34
0,35,8009.078125,8188.1875,623775.3246335153,22.47798131161835,35,35
0,36,8234.0,8417.953125,623754.4155553468,20.90907816856634,36,36
0,37,8460.0,8649.359375,623734.9040048986,19.511550448136404,37,37
0,38,8687.859375,8881.90625,623716.6622820802,18.24172281846404,38,38
0,39,8916.671875,9115.765625,623699.5770961933,17.085185886826366,39,39
0,40,9135.796875,9339.78125,623683.5344382126,16.042657980695367,40,40
0,41,9355.875,9564.875,623668.474407298,15.060030914610252,41,41
0,42,9576.796875,9790.984375,623654.3023955416,14.172011756454594,42,42
0,43,9798.5625,10017.984375,623640.9506383222,13.351757219410501,43,43
0,44,10021.34375,10245.484375,623628.3533087587,12.597329563461244,44,44
0,45,10244.921875,10474.21875,623616.452615578,11.900693180738017,45,45
0,46,10468.328125,10702.5,623605.1951785577,11.257437020307407,46,46
0,47,10692.265625,10931.765625,623594.5342051743,10.660973383346573,47,47
0,48,10917.609375,11162.546875,623584.4268104032,10.107394771068357,48,48
0,49,11144.828125,11394.84375,623574.8329328367,9.593877566512674,49,49
0,50,11372.734375,11628.140625,623565.7176813704,9.115251466282643,50,50
0,51,11602.1875,11862.640625,623557.0484426455,8.66923872497864,51,51
0,52,11832.90625,12098.6875,623548.7959370955,8.252505549928173,52,52
0,53,12064.796875,12336.03125,623540.9321555736,7.863781521911733,53,53
0,54,12298.265625,12574.59375,623533.4324877843,7.499667789321393,54,54
0,55,12532.859375,12814.71875,623526.2733220222,7.159165762132034,55,55
0,56,12768.75,13055.734375,623519.4336752464,6.83964677574113,56,56
0,57,13005.6875,13298.109375,623512.8940374622,6.539637784240767,57,57
0,58,13244.421875,13541.96875,623506.6363627061,6.257674756110646,58,58
0,59,13483.828125,13786.25,623500.6444763958,5.991886310279369,59,59
0,60,13723.953125,14031.96875,623494.9031429321,5.7413334636949,60,60
0,61,13965.625,14278.59375,623489.3976988622,5.50544406985864,61,61
0,62,14207.296875,14526.171875,623484.1154576465,5.282241215696558,62,62
0,63,14451.515625,14775.609375,623479.0442508867,5.071206759894267,63,63
0,64,14696.671875,15026.046875,623474.1730520562,4.871198830427602,64,64
0,65,14944.53125,15279.3125,623469.492435988,4.680616068188101,65,65
0,66,15194.59375,15534.9375,623464.990105635,4.502330353017896,66,66
0,67,15445.796875,15791.96875,623460.6572095301,4.332896104897372,67,67
0,68,15698.765625,16050.25,623456.4852838456,4.171925684553571,68,68
0,69,15952.8125,16309.921875,623452.4661619542,4.019121891353279,69,69
0,70,16208.0625,16571.1875,623448.5922673626,3.873894591582939,70,70
0,71,16464.328125,16833.453125,623444.8559578916,3.7363094710744917,71,71
0,72,16722.046875,17097.328125,623441.2508437689,3.6051141226198524,72,72
0,73,16982.0625,17362.921875,623437.7705895964,3.4802541725803167,73,73
0,74,17225.390625,17611.953125,623434.3974526792,3.373136917129159,74,74
0,75,17471.171875,17862.984375,623431.1493608054,3.248091873829253,75,75
0,76,17716.453125,18113.78125,623428.0094065075,3.1399542979197577,76,76
0,77,17960.90625,18363.71875,623424.9725504038,3.0368561036884785,77,77
0,78,18205.671875,18613.859375,623422.0342429389,2.9383074649376795,78,78
0,79,18451.28125,18864.78125,623419.1899957743,2.8442471645539626,79,79
0,80,18697.71875,19116.953125,623416.4356243513,2.754371423041448,80,80
0,81,18944.265625,19368.9375,623413.7675113549,2.66811299638357,81,81
0,82,19192.296875,19622.71875,623411.1817501332,2.5857612217077985,82,82
0,83,19439.875,19876.0625,623408.6748257866,2.5069243465550244,83,83
0,84,19688.34375,20130.046875,623406.2435657172,2.4312600693665445,84,84
0,85,19937.421875,20384.6875,623403.8848516183,2.3587140989257023,85,85
0,86,20187.46875,20640.4375,623401.5958248902,2.2890267281327397,86,86
0,87,20437.703125,20896.484375,623399.3735346368,2.2222902533831075,87,87
0,88,20689.09375,21153.46875,623397.2159680882,2.157566548557952,88,88
0,89,20941.546875,21411.1875,623395.120317214,2.095650874194689,89,89
0,90,21193.8125,21668.8125,623393.0839090548,2.0364081592997536,90,90
0,91,21447.21875,21927.796875,623391.1049496785,1.978959376225248,91,91
0,92,21701.6875,22187.921875,623389.1810297098,1.9239199687726796,92,92
0,93,21956.921875,22448.984375,623387.3098337332,1.8711959765059873,93,93
0,94,22212.515625,22710.078125,623385.4895981054,1.820235627819784,94,94
0,95,22468.4375,22971.625,623383.7187311514,1.7708669540006667,95,95
0,96,22725.140625,23233.859375,623381.9948032605,1.723927890881896,96,96
0,97,22980.921875,23495.5,623380.3163991433,1.6784041172359139,97,97
0,98,23237.4375,23757.5625,623378.6819504483,1.6344486949965358,98,98
0,99,23493.6875,24019.65625,623377.0899328529,1.5920175954233855,99,99
0,100,23753.75,24285.75,623375.5410007122,1.5489321406930685,100,100
0,101,24014.96875,24552.828125,623374.0302169435,1.5107837687246501,101,101
0,102,24277.09375,24820.796875,623372.5572132282,1.4730037152767181,102,102
0,103,24539.25,25088.859375,623371.1203851684,1.43682805984281,103,103
0,104,24819.65625,25375.265625,623369.7310288342,1.3893563341116533,104,104
0,105,25054.625,25615.4375,623368.3290821793,1.4019466548925266,105,105
0,106,25289.421875,25855.59375,623366.9952367811,1.3338453982723877,106,106
0,107,25524.71875,26096.046875,623365.6934046615,1.3018321195850149,107,107
0,108,25760.390625,26337.046875,623364.4230162849,1.2703883765498176,108,108
0,109,25996.015625,26577.5,623363.1822498508,1.2407664341153577,109,109
0,110,26231.21875,26817.875,623361.9703413413,1.2119085094891489,110,110
0,111,26466.09375,27057.96875,623360.7864991616,1.183842179714702,111,111
0,112,26702.5,27299.46875,623359.6319767842,1.1545223774155602,112,112
0,113,26940.0625,27542.296875,623358.5037394883,1.128237295895815,113,113
0,114,27182.09375,27789.71875,623357.4005668182,1.1031726701185107,114,114
0,115,27465.984375,28080.390625,623356.3528687798,1.0476980383973569,115,115
0,116,27751.046875,28371.6875,623355.2971615829,1.055707196937874,116,116
0,117,28036.109375,28663.3125,623354.2647547508,1.0324068320915103,117,117
0,118,28277.484375,28910.125,623353.2249123494,1.0398424013983458,118,118
0,119,28515.171875,29153.0625,623352.2334456552,0.9914666941622272,119,119
0,120,28753.015625,29396.515625,623351.2671758563,0.9662697989260778,120,120
0,121,28991.390625,29640.296875,623350.3215172268,0.9456586295273155,121,121
0,122,29230.109375,29884.296875,623349.3957541031,0.9257631236687303,122,122
0,123,29471.40625,30131.03125,623348.491601917,0.9041521861217916,123,123
0,124,29712.421875,30377.171875,623347.6042288115,0.8873731055064127,124,124
0,125,29951.453125,30621.65625,623346.7326017122,0.8716270992299542,125,125
0,126,30191.203125,30866.78125,623345.8813631546,0.8512385576032102,126,126
0,127,30431.265625,31112.1875,623345.0474155468,0.833947607781738,127,127
0,128,30671.828125,31358.15625,623344.2302795943,0.8171359525294974,128,128
0,129,30912.0,31603.84375,623343.429503646,0.8007759483298287,129,129
0,130,31152.828125,31850.015625,623342.6442234253,0.7852802206762135,130,130
0,131,31393.4375,32096.40625,623341.8749489977,0.7692744275555015,131,131
0,132,31634.796875,32342.828125,623341.1208073394,0.7541416583117098,132,132
0,133,31876.4375,32589.84375,623340.381125237,0.7396821024594828,133,133
0,134,32118.5,32837.296875,623339.6557196617,0.7254055752418935,134,134
0,135,32360.5,33084.46875,623338.9437368112,0.7119828505674377,135,135
0,136,32602.46875,33331.921875,623338.2457978546,0.6979389565531164,136,136
0,137,32844.5,33579.765625,623337.5610473033,0.6847505513578653,137,137
0,138,33087.140625,33827.828125,623336.889164696,0.6718826072756201,138,138
0,139,33330.078125,34076.171875,623336.2293332574,0.6598314385628328,139,139
0,140,33573.484375,34325.015625,623335.5821860828,0.6471471745753661,140,140
0,141,33816.703125,34573.625,623334.9469405615,0.6352455213200301,141,141
0,142,34059.53125,34822.375,623334.3228012973,0.6241392642259598,142,142
0,143,34302.265625,35070.40625,623333.7104542416,0.6123470556922257,143,143
0,144,34545.9375,35319.765625,623333.1091428095,0.6013114320812747,144,144
0,145,34789.84375,35568.53125,623332.5185553066,0.5905875029275194,145,145
0,146,35033.84375,35818.140625,623331.937981331,0.5805739755742252,146,146
0,147,35277.75,36067.46875,623331.3680997649,0.5698815661016852,147,147
0,148,35522.5625,36317.6875,623330.8082129359,0.5598868289962411,148,148
0,149,35766.3125,36566.796875,623330.2575934728,0.5506194630870596,149,149
0,150,36010.75,36816.703125,623329.7169567348,0.5406367380637676,150,150
0,151,36255.640625,37066.90625,623329.1855986542,0.5313580805668607,151,151
0,152,36500.78125,37317.625,623328.6628950632,0.522703591035679,152,152
0,153,36745.8125,37568.28125,623328.1495291467,0.513365916442126,153,153
0,154,36991.109375,37818.953125,623327.6443613688,0.5051677778828889,154,154
0,155,37237.3125,38070.328125,623327.1481339209,0.4962274479912594,155,155
0,156,37482.46875,38321.328125,623326.6597778285,0.48835609236266464,156,156
0,157,37729.40625,38573.34375,623326.1800282018,0.4797496267128736,157,157
0,158,37976.078125,38825.828125,623325.7081648854,0.47186331637203693,158,158
0,159,38222.40625,39077.90625,623325.2435901903,0.4645746950991452,159,159
0,160,38469.421875,39330.34375,623324.7870595396,0.45653065072838217,160,160
0,161,38716.125,39582.6875,623324.3374907214,0.44956881820689887,161,161
0,162,38963.765625,39835.59375,623323.8956459824,0.44184473901987076,162,162
0,163,39211.640625,40088.515625,623323.4604354808,0.4352105015423149,163,163
0,164,39459.546875,40342.046875,623323.0325615997,0.42787388106808066,164,164
0,165,39707.921875,40595.65625,623322.6110370493,0.4215245504165068,165,165
0,166,39955.78125,40849.328125,623322.1965469399,0.4144901094259694,166,166
0,167,40203.828125,41103.078125,623321.7881752908,0.4083716491004452,167,167
0,168,40452.34375,41356.859375,623321.3866340503,0.40154124051332474,168,168
0,169,40701.328125,41611.609375,623320.9912981982,0.3953358520520851,169,169
0,170,40950.453125,41866.5,623320.6020396682,0.3892585299909115,170,170
0,171,41198.890625,42120.40625,623320.2187152465,0.3833244217094034,171,171
0,172,41448.390625,42375.3125,623319.8412108049,0.37750444165430963,172,172
0,173,41697.921875,42630.515625,623319.4693932694,0.37181753548793495,173,173
0,174,41947.875,42886.3125,623319.1032491191,0.36614415026269853,174,174
0,175,42198.875,43142.75,623318.7425688105,0.36068030865862966,175,175
0,176,42449.890625,43399.5625,623318.3872467092,0.35532210126984864,176,176
0,177,42700.765625,43655.921875,623318.0371659081,0.3500808010576293,177,177
0,178,42952.734375,43913.484375,623317.6922222968,0.3449436113005504,178,178
0,179,43204.921875,44171.046875,623317.3523157506,0.3399065462872386,179,179
0,180,43457.609375,44429.34375,623317.0173396268,0.334976123762317,180,180
0,181,43710.171875,44687.515625,623316.6871922348,0.3301473920000717,181,181
0,182,43963.578125,44946.453125,623316.3617800687,0.3254121660720557,182,182
0,183,44216.515625,45205.171875,623316.0410056586,0.32077441015280783,183,183
0,184,44470.484375,45465.015625,623315.7247838693,0.3162217892240733,184,184
0,185,44725.5,45726.046875,623315.4130191557,0.3117647136095911,185,185
0,186,44981.421875,45987.875,623315.1056330644,0.30738609132822603,186,186
0,187,45238.0,46250.125,623314.8022555832,0.3033774811774492,187,187
0,188,45494.125,46512.0,623314.5033666161,0.2988889671396464,188,188
0,189,45750.734375,46774.1875,623314.2086082369,0.29475837922655046,189,189
0,190,46007.40625,47036.453125,623313.9178740573,0.29073417955078185,190,190
0,191,46265.078125,47299.671875,623313.631128485,0.28674557234626263,191,191
0,192,46522.28125,47562.78125,623313.3479906453,0.2831378396367654,192,192
0,193,46780.890625,47826.78125,623313.0689807422,0.2790099030826241,193,193
0,194,47037.84375,48089.4375,623312.7937656282,0.2752151140011847,194,194
0,195,47295.28125,48352.890625,623312.5222821658,0.2714834624202922,195,195
0,196,47552.53125,48616.21875,623312.2541834792,0.2680986865889281,196,196
0,197,47810.15625,48879.671875,623311.9899597629,0.2642237163381651,197,197
0,198,48067.96875,49143.296875,623311.7292682203,0.2606915426440537,198,198
0,199,48326.109375,49407.09375,623311.4717672868,0.257500933483243,199,199
0,200,48584.859375,49671.359375,623311.2179357302,0.253831556532532,200,200
0,201,48842.953125,49935.703125,623310.9672027973,0.2507329329382628,201,201
0,202,49100.890625,50199.9375,623310.7199892681,0.24721352919004858,202,202
0,203,49360.0,50464.828125,623310.4760013844,0.24398788367398083,203,203
0,204,49618.921875,50729.546875,623310.2349100738,0.24109131062868983,204,204
0,205,49878.3125,50994.953125,623309.9971893548,0.23772071895655245,205,205
0,206,50137.4375,51260.46875,623309.7622580229,0.23493133194278926,206,206
0,207,50397.75,51526.4375,623309.5305953168,0.23166270612273365,207,207
0,208,50657.109375,51791.53125,623309.301613762,0.22898155474103987,208,208
0,209,50916.65625,52057.296875,623309.0757869722,0.22582678985781968,209,209
0,210,51176.78125,52323.109375,623308.852547897,0.22323907515965402,210,210
0,211,51437.359375,52589.015625,623308.6321076166,0.22044028039090335,211,211
0,212,51697.4375,52854.75,623308.4146345844,0.21747303218580782,212,212
0,213,51957.71875,53120.703125,623308.1996267065,0.21500787790864706,213,213
0,214,52217.6875,53386.609375,623307.9873401546,0.21228655194863677,214,214
0,215,52478.265625,53653.171875,623307.7778771948,0.2094629597850144,215,215
0,216,52739.03125,53919.6875,623307.5706868273,0.20719036750961095,216,216
0,217,53000.4375,54186.4375,623307.3660038612,0.2046829661121592,217,217
0,218,53260.875,54452.734375,623307.1638071792,0.20219668198842555,218,218
0,219,53521.140625,54718.75,623306.9640425926,0.19976458663586527,219,219
0,220,53780.890625,54984.375,623306.766676537,0.19736605556681752,220,220
0,221,54041.90625,55251.109375,623306.5719116915,0.1947648455388844,221,221
0,222,54302.328125,55517.46875,623306.3792011172,0.1927105742506683,222,222
0,223,54562.796875,55783.84375,623306.1887603918,0.19044072541873902,223,223
0,224,54822.78125,56049.546875,623306.0003251885,0.18843520327936858,224,224
